hts,short_desc,long_desc,naics
3904100000,"POLYVINYL CHLORIDE,NOT MIXED WITH ANY OTH SUBSTANC","POLYVINYL CHLORIDE,NOT MIXED WITH ANY OTHER SUBSTANCES",325211
3904210000,"OTHER POLYMERS OF POLYVINYL CHLORIDE,NONPLASTIZED","OTHER POLYMERS OF POLYVINYL CHLORIDE,NONPLASTICIZED",325211
3904220000,"OTHER POLYMERS OF POLYVINYL CHLORIDE,PLASTICIZED","OTHER POLYMERS OF POLYVINYL CHLORIDE,PLASTICIZED",325211
3904302000,"VIN AC-VIN CHL-ETH TERPOLY, CONT BY WT <50% VIN AC","VINYL CHLORIDE-VINYL ACETATE COPOLYMERS: VINYL ACETATE-VINYL CHLORIDE-ETHYLENE TERPOLYMERS, W/ BY WT <50% D",325211
3904306000,"VINYL CHLORIDE-VINYL ACETATE COPOLYMERS, NESOI","VINYL CHLORIDE-VINYL ACETATE COPOLYMERS, NESOI",325211
3904400000,OTHER VINYL CHLORIDE COPOLYMERS,OTHER VINYL CHLORIDE COPOLYMERS,325211
3904500000,VINYLIDENE CHLORIDE POLYMERS,VINYLIDENE CHLORIDE POLYMERS,325211
3904610010,"POLYTETRAFLUOROETHYLENE (PTFE), GRANULAR","POLYTETRAFLUOROETHYLENE (PTFE), GRANULAR, WHETHER OR NOT FILLED OR COMPOUNDED (SEE STAT. NOTE 2 TO THIS CHA",325211
3904610090,"POLYTETRAFLUOROETHYLENE (PTFE), EXCEPT GRANULAR","POLYTETRAFLUOROETHYLENE (PTFE), OTHER THAN GRANULAR",325211
3904691000,"OTHER FLUORO-POLYMERS,ELASTOMERIC","OTHER FLUORO-POLYMERS,ELASTOMERIC",325212
3904695000,"OTHER FLUORO-POLYMERS,EXCEPT ELASTOMERIC","OTHER FLUORO-POLYMERS,EXCEPT ELASTOMERIC",325211
3904901000,"POLYMERS OF OTH HALOG OLEFINS,PRIM FRM,ELASTOMERIC","POLYMERS OF OTHER HALOGENATED OLEFINS,IN PRIMARY FORM,ELASTOMERIC",325212
3904905000,"POLYMERS OF OTH HALOG OLEFINS,PRIM FRM,NOT ELASTOM","POLYMERS OF OTHER HALOGENATED OLEFINS,IN PRIMARY FORM,EXCEPT ELASTOMERIC",325211
3905120000,"POLYMERS OF VINYL ACETATE, IN AQUEOUS DISPERSION","POLYMERS OF VINYL ACETATE, IN AQUEOUS DISPERSION",325211
3905190000,"POLYMERS OF VINYL ACETATE,NOT IN AQUEOUS DISPERS","POLYMERS OF VINYL ACETATE,NOT IN AQUEOUS DISPERSION",325211
3905210000,"VINYL ACETATE COPOLYMERS, IN AQUEOUS DISPERSION","VINYL ACETATE COPOLYMERS, IN AQUEOUS DISPERSION",325211
3905290000,"VINYL ACETATE COPOLYMERS, NESOI","VINYL ACETATE COPOLYMERS, NESOI",325211
3905300000,"POLYVINYL ALCOHOLS, W/WO UNHYDROLYZED ACETATE GRPS","POLYVINYL ALCOHOLS, WHETHER OR NOT CONTAINING UNHYDROLYZED ACETATE GROUPS",325211
3905911000,VINYL COPOLYMRS: CONT BY WT 50%+ DERIV OF VNYL ACE,VINYL COPOLYMERS IN PRIMARY FORMS: CONTAINING BY WEIGHT 50% OR MORE OF DERIVATIVES OF VINYL ACETATE,325211
3905915000,"VINYL COPOLYMERS IN PRIMARY FORMS, NESOI","VINYL COPOLYMERS IN PRIMARY FORMS, NESOI",325211
3905993000,POLYVINYL CARBAZOLE (INCLUDING ADJUVANTS),POLYVINYL CARBAZOLE (INCLUDING ADJUVANTS),325211
3905998000,"OTHER VINYL POLYMERS IN PRIMARY FORMS,NESOI","OTHER VINYL POLYMERS IN PRIMARY FORMS,NESOI",325211
3906100000,POLYMETHYL METHACRYLATE,POLYMETHYL METHACRYLATE,325211
3906901000,"OTHR ACRYLIC POLYMERS IN PRIMARY FORM,ELASTOMERIC","OTHER ACRYLIC POLYMERS IN PRIMARY FORMS,ELASTOMERIC",325212
3906902000,PLASTIC ACRYLIC POLYMERS IN PRIMARY FORMS,PLASTIC ACRYLIC POLYMERS IN PRIMARY FORMS,325211
3906905000,"OTHER ACRYLIC POLYMERS IN PRIMARY FORMS,NESOI",OTHER ACRYLIC POLYMERS IN PRIMARY FORMS (EXCLUDING PLASTICS),325211
3907100000,POLYACETALS,POLYACETALS,325211
3907200000,OTHER POLYETHERS,OTHER POLYETHERS,325211
3907300000,EPOXIDE RESINS,EPOXIDE RESINS,325211
3907400000,POLYCARBONATES,POLYCARBONATES,325211
3907500000,ALKYD RESINS,ALKYD RESINS,325211
3907610010,POLYETHYLENE TEREPHTHALATE VISC GT=78 ML/G LT=88,POLYETHYLENE TEREPHTHALATE HAVING A VISCOSITY NUMBER OF 78 ML/G OR MORE BUT NOT MORE THAN 88 ML/G,325211
3907610050,POLYETHYLENE TEREPHTHALATE VISCSTY GT 88 ML/G,POLYETHYLENE TEREPHTHALATE HAVING A VISCOSITY NUMBER OF MORE THAN 88 ML/G,325211
3907690010,"OTHR POLYETHYLENE TEREPHTHALATE VIS GT=70ML/G,LT78",OTHER POLYETHYLENE TEREPHTHALATE HAVING A VISCOSITY NUMBER OF 70 ML/G OR MORE BUT LESS THAN 78 ML/G,325211
3907690050,OTHER POLYETHYLENE TEREPHTHALATE VISCOS GT= 78ML/G,OTHER POLYETHYLENE TEREPHTHALATE HAVING A VISCOSITY NUMBER OF 78 ML/G OR MORE,325211
3907700000,POLY(LACTIC ACID),POLY(LACTIC ACID),325211
3907912000,"UNSATURATED ALLYL RESINS, UNCOMPOUNDED","UNSATURATED ALLYL RESINS,UNCOMPOUNDED",325211
3907914000,"UNSATURATED ALLYL RESINS, NESOI","UNSATURATED ALLYL RESINS, NESOI",325211
3907915000,"UNSATURATED POLYESTERS, NESOI","UNSATURATED POLYESTERS, NESOI",325211
3907992000,THERMOPLASTIC LIQ CRYSTAL AROM POLYESTER COPOLYMER,THERMOPLASTIC LIQUID CRYSTAL AROMATIC POLYESTER COPOLYMERS,325211
3907995010,"POLYBUTYLENE TEREPHTHLATE, NESOI","POLYBUTYLENE TEREPHTHLATE, NESOI",325211
3907995050,"POLYESTERS,NESOI","POLYESTERS,NESOI",325211
3908100000,"POLYAMIDE-6,-11,-12,-6,6,-6,9,-6,10 OR -6,12","POLYAMIDE-6,-11,-12,-6,6,-6,9,-6,10 OR -6,12",325211
3908902000,BIS(4-AMINO-3-METHYLCYCLOHEXYL)METHANE-ISOPHTHALIC,BIS(4-AMINO-3-METHYLCYCLOHEXYL)METHANE-ISOPHTHALIC ACID-LAUROLACTAM COPOLYMER,325211
3908907000,OTHER POLYAMIDES IN PRIMARY FORMS,OTHER POLYAMIDES IN PRIMARY FORMS,325211
3909100000,"UREA RESINS,THIOUREA RESINS","UREA RESINS,THIOUREA RESINS",325211
3909200000,MELAMINE RESINS,MELAMINE RESINS,325211
3909310000,"POLY(METHYLENE PHENYL ISOCYANATE)(CRUDEMDI,POLYMER","OTHER AMINO-RESINS; POLY(METHYLENE PHENYL ISOCYANATE)(CRUDE MDI, POLYMERIC MDI)",325211
3909390000,OTHER AMINO-RESINS,OTHER AMINO-RESINS,325211
3909400000,PHENOLIC RESINS,PHENOLIC RESINS,325211
3909501000,"POLYURETHANES,ELASTOMERIC","POLYURETHANES,ELASTOMERIC",325212
3909502000,"POLYURETHANES,CEMENTS","POLYURETHANES,CEMENTS",325211
3909505000,"POLYURETHANES,IN PRIMARY FORMS,NESOI","POLYURETHANES,IN PRIMARY FORMS,NESOI",325211
3910000000,SILICONES IN PRIMARY FORMS,SILICONES IN PRIMARY FORMS,325212
3911100000,"PETROLEUM RESINS,COUMARONE RESINS,ETC,POLYTERPENES","PETROLEUM RESINS,COUMARONE,INDENE OR COUMARONE-INDENE RESINS; POLYTERPENES",325211
3911901000,OTHER ELASTOMERIC RESINS NESOI,OTHER ELASTOMERIC RESINS NESOI,325212
3911901500,THERMOPLASTIC:POLY(NITRILOMETHANE-TETRAARYLNITRILO,"THERMOPLASTIC: POLY(NITRILOMETHANE-TETRAARYLNITRILO-[2,4,6-TRIS-(1-METHYL-ETHYL)-1,3-PHENYLENE]]-2,6-BIS(1-",325211
3911902500,"POLYSULFIDES,POLYSULFONES,ETC,AROM MONO,THERMOPLAS","POLYSULFIDES, POLYSULFONES & OTH PRODUCTS SPEC IN NOTE 3,CHAPT 39,CONT AROMATIC MONOMER UNITS OR DERIVED TH",325211
3911903500,"THERMOSETTING: 1,1'BIS(METHYLENDI-4,1-PHENYLENE)-1","THERMOSETTING:1,1'-BIS(METHYLENDI-4,1-PHENYLENE)-1H-PYRROLE-2,5-DIONE,COPOLYMER WITH 4,4'-METHYLENEBIS-(BEN",325211
3911904500,"POLYSULFIDES,POLYSULFONES,ETC,AROM MONO,THERMOSETT","POLYSULFIDES, POLYSULFONES & OTH PRODUCTS SPEC IN NOTE 3,CHAPT 39,CONT AROMATIC MONOMER UNITS OR DERIVED TH",325211
3911907000,CHLORINATED SYNTHETIC RUBBER,CHLORINATED SYNTHETIC RUBBER,325212
3911909010,"POLYSULFIDES,POLYSULFONES,ETC,NESOI,THERMOPLASTIC","POLYSULFIDES,POLYSULFONES & OTH PRODUCTS SPEC IN NOTE 3,CHAPT 39,NESOI,THERMOPLASTIC",325211
3911909050,"POLYSULFIDES,POLYSULFONES,ETC,NESOI,THERMOSETTING","POLYSULFIDES,POLYSULFONES & OTH PRODUCTS SPEC IN NOTE 3,CHAPT 39 NESOI,THERMOSETTING",325211
3912110000,"CELLULOSE ACETATES,NONPLASTICIZED","CELLULOSE ACETATES,NONPLASTICIZED",325199
3912120000,"CELLULOSE ACETATES,PLASTICIZED","CELLULOSE ACETATES,PLASTICIZED",325211
3912200000,CELLULOSE NITRATES (INCLUDING COLLODIONS),CELLULOSE NITRATES (INCLUDING COLLODIONS),325211
3912310010,"CARBOXYMETHYLCELLULOSE AND SALTS, GT=90% CMC BY WT","CARBOXYMETHYLCELLULOSE AND ITS SALTS, CONTAINING NOT LESS THAN 90% CARBOXYMETHYLCELLULOSE BY WEIGHT",325199
3912310090,"CARBOXYMETHYLCELLULOSE AND SALTS, LT 90% CMC BY WT","CARBOXYMETHYLCELLULOSE AND ITS SALTS, CONTAINING LESS THAN 90% CARBOXYMETHYLCELLULOSE BY WEIGHT",325199
3912390000,"CELLULOSE ETHERS,NESOI","CELLULOSE ETHERS,NESOI",325199
3912900010,"(ALPHA)-CELLULOSE IN GRANULAR, MICRYCRYSTAL OR PWD","(ALPHA)-CELLULOSE IN GRANULAR, MICROCRYSTALLINE OR POWDER FORMS",325212
3912900090,"CELLULOSE & ITS CHEMICAL DERIV,PRIMARY FORMS,NESOI","CELLULOSE AND ITS CHEMICAL DERIVATIVES, IN PRIMARY FORMS, NESOI (EXCLUDING CELLULOSE IN GRANULAR, MICROCRYS",325199
3913100000,"ALGINIC ACID,ITS SALTS AND ESTERS","ALGINIC ACID,ITS SALTS AND ESTERS",325199
3913901000,CHEMICAL DERIVATIVES OF NATURAL RUBBER,CHEMICAL DERIVATIVES OF NATURAL RUBBER,325212
3913902015,XANTHAN GUM,XANTHAN GUM,325212
3913902090,"POLYSACCHARIDES & THEIR DERIVATIVES, NESOI","POLYSACCHARIDES AND THEIR DERIVATIVES, NESOI",325212
3913905000,"NATURAL POLYMERS & MODIF NAT POLYMRS,PRIM FM,NESOI","NATURAL POLYMERS & MODIFIED NATURAL POLYMERS,IN PRIMARY FORMS,NESOI",325212
3914002000,(CHOLESTYRAMINE RESIN USP),CROSS-LINKED POLYVINYLBENZYLTRIMETHYLAMMONIUM CHLORIDE (CHOLESTYRAMINE RESIN USP),325211
3914006000,"ION-EXCHANGRS BASED ON POLYMRS OF 3901-3913, NESOI","ION-EXCHANGERS BASED ON POLYMERS OF HEADINGS 3901 TO 3913, IN PRIMARY FORMS, NESOI",325211
3915100000,"WASTE,PARING,SCRAP,OF PLAST,OF POLYMRS OF ETHYLENE","WASTE,PARINGS AND SCRAP,OF PLASTICS;OF POLYMERS OF ETHYLENE",910000
3915200000,"WASTE,PARING,SCRAP,OF PLAST,OF POLYMRS OF STYRENE","WASTE,PARINGS AND SCRAP,OF PLASTICS:OF POLYMERS OF STYRENE",910000
3915300000,"WASTE,PARINGS,SCRAP,OF PLAS,OF POLYMRS VINL CHLORI","WASTE,PARINGS AND SCRAP,OF PLASTIC:OF POLYMERS OF VINYL CHLORIDE",910000
3915900010,OF POLYETHYLENE TEREPHTHALATE (PET) PLASTICS,OF POLYETHYLENE TEREPHTHALATE (PET) PLASTICS,910000
3915900090,OTHER PLASTICS OTHER THAN PET PLASTICS,OTHER PLASTICS OTHER THAN PET PLASTICS,910000
3916100000,"RODS,STICKS & PROFILE SHAPE,OF POLYMRS OF ETHYLENE","RODS,STICKS AND PROFILE SHAPES,WHETHER OR NOT SURFACE-WORKED,NOT OTHERWISE WORKED,OF PLASTICS,OF POLYMERS O",326121
3916200010,SIDING FOR HOUSE OR BUILDING EXTERIOR,SIDING OF HOUSE OR BUILDING EXTERIOR  OF POLYMERS OF VINYL CHLORIDE,326199
3916200020,"WINDOW, DOOR, DECKING OR RAILING PROFILES OF PVC","WINDOW, DOOR, DECKING OR RAILING PROFILES OF POLYMERS OF VINYL CHLORIDE, WHETHER OR NOT SURFACE-WORKED BUT",326121
3916200091,"RODS, STICKS AND PROFILE SHAPES OF PVC, NESOI","RODS, STICKS AND PROFILE SHAPES OF POLYMERS OF VINYL CHLORIDE, WHETHER OR NOT SURFACE-WORKED BUT NOT OTHERW",326121
3916901000,"RODS,STICKS,& PROFILE SHAPES,OF ACRYLIC POLYMERS","RODS,STICKS AND PROFILE SHAPES,WHETHER OR NOT SURFACE-WORKED,NOT OTHERWISE WORKED,OF PLASTICS,OF ACRYLIC PO",326121
3916902000,"RACQUET STRINGS,OF PLASTIC","RACQUET STRINGS,OF PLASTIC",339920
3916903000,"MONOFILAMENT,CROSS-SEC DIMEN EXCEEDS 1MM","MONOFILAMENT,CROSS-SEC DIMEN EXCEEDS 1MM",326121
3916905000,"RODS,STICKS & PROFILE SHAPES,ETC,OF PLAST,NESOI","RODS,STICKS AND PROFILE SHAPES,WHETHER OR NOT SURFACE-WORKED,NOT OTHER WISE WORKED,OF PLASTICS,NESOI",326121
3917101000,ARTIFICIAL GUTS(SAUSAGE CASINGS) OF CELL PLAST MAT,ARTIFICIAL GUTS (SAUSAGE CASINGS) OF CELLULOSIC PLASTICS MATERIALS,326121
3917106000,ARTIFICIAL GUTS(SAUSAGE CASING)OF COLLAGEN,ARTIFICIAL GUTS (SAUSAGE CASINGS) OF COLLAGEN,311612
3917109000,"ARTIFICL GUT(SAUSAGE CASING)OF HARDEND PROTEIN,NES","ARTIFICIAL GUTS (SAUSAGE CASINGS) OF HARDENED PROTEIN, NESOI",326121
3917210000,"TUBES,PIPES & HOSES,RIGID,OF POLYMRS OF ETHYLENE","TUBES,PIPES AND HOSES,RIGID,OF POLYMERS OF ETHYLENE",326122
3917220000,"TUBES,PIPES & HOSES,RIGID,OF POLYMERS OF PROPYLENE","TUBES,PIPES & HOSES,RIGID,OF POLYMERS OF PROPYLENE",326122
3917230000,"TUBES, PIPES & HOSES, RIGID, OF POLYM OF VINYL CHL","TUBES, PIPES & HOSES, RIGID, OF POLYMERS OF VINYL CHLORIDE",326122
3917290050,"TUBES,PIPES&HOSES,RIGID,OF PLASTIC, NESOI, <200MM","TUBES, PIPES & HOSES, RIGID, OF PLASTIC, NESOI, LESS THAN 200 MM IN LENGTH",326122
3917290090,"TUBES,PIPES&HOSES,RIGID,OF PLASTIC,NESOI,>=200MM","TUBES, PIPES & HOSES, RIGID, OF PLASTIC, NESOI, GREATER THAN OR EQUAL TO 200MM IN LENGTH",326122
3917310000,"FLEX TUBES, PIPES & HOSES, MIN BURST PRES=27.6MPA","FLEXIBLE TUBES, PIPES & HOSES, HAVING A MINIMUM BURST PRESSURE OF 27.6 MPA",326220
3917320010,"TUBES,PIPES & HOSES,NOT RIGID,NOT REIN,NO FIT,PVC","TUBES,PIPES & HOSES,NOT RIGID,NOT REINFORCED OR OTHERWISE COMBINED WITH OTHER MATERIALS,WITHOUT FITTINGS,OF",326220
3917320020,"TUBES,PIPE & HOSE,NOT RIGD,NOT REIN,NO FIT,POLYETH","TUBES,PIPES & HOSES,NOT RIGID,NOT REINFORCED OR OTHERWISE COMBINED WITH OTHER MATERIALS,WITHOUT FITTINGS OF",326220
3917320050,"TUBES,PIPES & HOSE,NOT RIGID,NOT REIN,NO FIT,NESOI","TUBES,PIPES & HOSES,NOT RIGID,NOT REINFORCED OR OTHERWISE COMBINED WITH OTHER MATERIALS,WITHOUT FITTINGS,NE",326220
3917330000,"TUBES,PIPES & HOSES,NOT RIGID,NOT REINF,WITH FIT","TUBES,PIPES & HOSES,NOT RIGID,NOT REINFORCED OR OTHERWISE COMBINED WITH OTHER MATERIALS, WITH FITTINGS",326220
3917390010,"TUBES,PIPES & HOSES,NOT RIGID,REINF WITH METAL","TUBES,PIPES & HOSES,NOT RIGID,REINFORCED WITH METAL",326220
3917390020,"TUBES,PIPE & HOSE,NOT RIGD,NOT REIN W METAL,OF PVC","TUBES,PIPES & HOSES,NOT RIGID,NOT REINFORCED WITH METAL,OF POLYVINYL CHLORIDE",326220
3917390050,"TUBES,PIPE & HOSE,NOT RIGID,NOT REIN W METAL,NESOI","TUBES,PIPES & HOSES,NOT RIGID NOT REINFORCED WITH METAL,NESOI",326220
3917400010,FITTINGS FOR VEHICLE BRAKE HOSES,FITTINGS FOR VEHICLE BRAKE HOSES,326122
3917400090,"OTHER FITTINGS FOR TUBES,PIPES & HOSES,OF PLASTIC","OTHER FITTINGS FOR TUBES,PIPES & HOSES,OF PLASTIC",326122
3918101000,FLOOR COVERINGS OF VINYL TILE,"FLOOR COVERINGS OF VINYL TILE, WHETHER OR NOT SELF-ADHESIVE",326199
3918102000,"FLOOR COVERINGS OF POLYMRS OF VINYL CHLORIDE,NESOI","FLOOR COVERINGS, WHETHER OR NOT SELF-ADHESIVE, IN ROLLS OR IN THE FORM OF TILES, OF POLYMERS OF VINYL CHLOR",326199
3918103110,"WALL/CEILING COVR,POLYM VIN CHLOR,M-M TEXTLE,WOVEN","WALL OR CEILING COVERINGS, OF POLYMERS OF VINYL CHLORIDE, BACKING OF MAN-MADE TEXTILE FIBERS WOVEN OVER 70",322220
3918103150,"WALL/CEILING COVR,POLYM VIN CHLOR,M-M TEX,NOT WOVN","WALL OR CEILING COVERINGS,OF  POLYMERS OF VINYL CHLORIDE,BACKING OF MAN-MADE TEXTILE FIBERS, NOT WOVEN OVER",322220
3918103210,"WALL/CEIL COVR,POLYM VIN CHLOR,M-M TEXT,WOV, NESOI","WALL OR CEILING COVERINGS, OF POLYMERS OF VINYL CHLORIDE, BACKING OF MAN-MADE TEXTILE FIBERS WOVEN NOT OVER",322220
3918103250,"WALL/CEIL COVR,POLY VIN CHLOR,M-M TEX,NT WOV,NESOI","WALL OR CEILING COVERINGS,OF  POLYMERS OF VINYL CHLORIDE,BACKING OF MAN-MADE TEXTILE FIBERS, NOT WOVEN NOT",322220
3918104010,"WALL/CEILING COVR,POLY VIN CHLO,TEXT,NOT M-M,WOVEN","WALL OR CEILING COVERING,OF POLYMERS OF VINYL CHLORIDE,BACKING OF TEXTILE FIBERS,NOT MAN-MADE,WOVEN",322220
3918104050,"WALL/CEILING COVR,POLY VIN CHLO,TEX,NT M-M,NT WOVN","WALL OR CEILING COVERING,OF POLYMERS OF VINYL CHLORIDE,BACKING OF TEXTILE FIBERS NOT MAN-MADE NOT WOVEN",322220
3918105000,"WALL OR CEILING COVERNG,OF POLYMRS VIN CHLOR,NESOI","WALL OR CEILING COVERINGS,OF POLYMERS OF VINYL CHLORIDE,NESOI",322220
3918901000,FLOOR COVERINGS OF OTHER PLASTICS,FLOOR COVERINGS OF OTHER PLASTICS,326199
3918902000,"WALL OR CEILING COVERINGS,OTHR PLAST,BACK M-M TEXT","WALL OR CEILING COVERINGS,OF OTHER PLASTICS,WITH A BACKING OF MAN-MADE TEXTILE FIBERS",322220
3918903000,"WALL/CEILING COVRS,OTHR PLAST,BACK TEXTILE,NOT M-M","WALL OR CEILING COVERINGS,OF OTHER PLASTICS,WITH A BACKING OF TEXTILEFIBR,NOT MAN-MADE",322220
3918905000,"WALL OR CEILING COVERINGS,OF OTHER PLASTICS,NESOI","WALL OR CEILING COVERINGS,OF OTHER PLASTICS,NESOI",322220
3919101010,PAVEMENT MARKING TAPE IN ROL NT EXCD  20 CM WIDE,PAVEMENT MARKING TAPE IN ROLLS NOT EXCEEDING 20 CM WIDE,322220
3919101050,"TAPE,IN ROLLS NT EXCD 20 CM W, LGHT-REFLECT, NESOI","TAPE,IN ROLLS NOT EXCEEDING 20 CM WIDE HAVING LIGHT-REFLECTING SURFACE PROD IN WHOLE/PT, NESOI",322220
3919102010,"FILAMENT REINFORCED TAPE, IN ROLLS, WIDTH<=20CM","FILAMENT REINFORCED TAPE, IN ROLLS OF A WIDTH NOT EXCEEDING 20 CM",322220
3919102020,"ELECTRICAL TAPE, IN ROLLS NOT EXCEEDING 20 CM WIDE","ELECTRICAL TAPE, IN ROLLS OF A WIDTH NOT EXCEEDING 20 CM",322220
3919102030,"TRANSPARENT TAPE, LENGTH <= 55 M, WIDTH <= 5 CM","TRANSPARENT TAPE, NOT EXCEEDING 55 M IN LENGTH, NOT EXCEEDING 5 CM IN WIDTH",322220
3919102040,"TRANSPARENT TAPE NOT EXCEEDING 55M IN LENGTH,W>5CM","TRANSPARENT TAPE, NOT EXCEEDING 55 M IN LENGTH, OF A WIDTH GREATER THAN 5 CM",322220
3919102055,"SELF-ADHS PLATE,SHEET,STRIP,ETC IN ROLLS,W<=20CM","SELF-ADHESIVE PLATES, SHEETS, FILM, FOIL, TAPE, STRIP & OTHER FLAT SHAPES OF PLASTICS, IN ROLLS OF A WIDTH",322220
3919901000,"SELF-ADHES PLATES,SHEET,ETC,LIGHT REFL,GLASS GRAIN","SELF-ADHESIVE PLATES,SHEETS,FILM,FOIL,TAPE,ETC,OF PLASTIC,HAVING A LIGHT REFLECTING SURFACE PRODUCED BY GLA",322220
3919905010,SELF-ADHESIVE REFLECTORIZED SHEETING OF PLASTICS,"SELF-ADHESIVE REFLECTORIZED SHEETING OF PLASTICS, WHETHER OR NOT IN ROLLS",322220
3919905020,"FILAMENT REINFORCED TAPE, IN ROLLS EXCEEDING 20 CM","FILAMENT REINFORCED TAPE, IN ROLLS OF A WIDTH EXCEEDING 20 CM",322220
3919905030,"ELECTRICAL TAPE, IN ROLLS EXCEEDING 20 CM WIDE","ELECTRICAL TAPE, IN ROLLS OF A WIDTH EXCEEDING 20 CM",322220
3919905040,"TRANSPARENT TAPE, IN ROLLS EXCEEDING 20 CM WIDE","TRANSPARENT TAPE, IN ROLLS OF A WIDTH EXCEEDING 20 CM",322220
3919905060,"SELF-ADHS PLATE,SHEET,STRIP,ETC OF PLASTICS,NESOI","SELF-ADHESIVE PLATES, SHEETS, FILM, FOIL, TAPE, STRIP & OTHER FLAT SHAPES OF PLASTICS, WHETHER OR NOT IN RO",322220
3920100000,"PLATES,SHEETS,ETC,NONCELL, NOT REINF,POLM ETHYLENE","OTHER PLATES,SHEETS,FILM,FOIL & STRIP,OF PLASTIC, NONCELLUAR & NOT REINFORCED,LAMINATED,SUPPORTED OR COMBIN",326113
3920200015,"STRIP PCKG DECOR/WRAP NONCEL, NT REIN,POLM PROPYLN","STRIPS PUT UP IN PACKAGNG FOR USE AS DECORATVE OR GIFTWRAP PLAST, NONCELLUAR & NT REINFORD,LAMINATD,SUPPORT",326113
3920200020,GIFT WRAP OF POLYMERS OF PROPYLENE,GIFT WRAP OF POLYMERS OF PROPYLENE,326113
3920200055,"PLATES,SHEETS,ETC,NONCELL, NOT REIN,POLM PROPYLENE","OTHER PLATES,SHEETS,FILM,FOIL & STRIP,OF PLAST, NONCELLUAR & NOT REINFORCD,LAMINATED,SUPPORTED OR COMBIND W",326113
3920300000,"PLATES,SHEETS,ETC, NONCELL,NOT REIN,POLYM STYRENE","OTHER PLATES,SHEETS,FILM,FOIL & STRIP,OF PLAST, NONCELLUAR,& NOT REINFORCD,LAMINATED,SUPPORTED OR COMBIND W",326113
3920431000,"PLATES,SHEETS, ETC,PVC, IMITATION PATENT LEATHER","PLATES, SHEETS, ETC, NONCELLUAR, NOT REINFORCED, LAMINATED, COMBINED, OF POLYMERS OF VINYL CHLORIDE, IN IMI",326113
3920435000,"PLATES,SHEETS,ETC, NOT REIN, <6% PLASTICZRS, NESOI","PLATES, SHEETS, E TC, NONCELLUAR, NOT REINFORCED, LAMINATED, COMBINED, OF POLYMERS OF VINYL CHLORIDE, LESS",326113
3920490000,"PLATES,SHEETS,ETC OF POLYMRS OF VNYL CHLOR, NESOI","PLATES, SHEETS, FILM, FOIL & STRIP OF POLYMERS OF VINYL CHLORIDE, NOT REINFORCED/LAMINATED/COMBINED W/ OTHE",326113
3920511000,"PLATES,ETC,NONCEL,N REIN,POLYMETHYL METHACRYLA,FLX","PLATES,SHEETS,FILM,ETC, NONCELLUAR,NOT REINFORCED,LAMINATED,COMBINED,OF POLYMETHYL METHACRYLATE,FLEXIBLE",326113
3920515000,"PLATES,ETC,NONCEL,N REIN,PLYMETHYL METHACRYLAT,NES","PLATES,SHEETS,FILM,ETC, NONCELLUAR,NOT REINFORCED,LAMINATED,COMBINED,OF POLYMETHYL METHACRYLATE,NESOI",326113
3920591000,"PLATES,ETC,NONCEL,N REIN,OF OTH ACRYLIC POLYM,FLEX","PLATES,SHEETS,FILM,ETC,NONCELLUAR,NOT REINFORCED,LAMINATED,COMBINED,OF OTHR ACRYLIC POLYMERS,FLEXIBLE",326113
3920594000,TRANSPARENT SHEETING GT= 30% BY WEIGHT OF LEAD,TRANSPARENT SHEETING CONTAINING 30% OR MORE BY WEIGHT OF LEAD,326113
3920598000,"PLATES,ETC,NONCEL,N REIN,OF OTH ACRYLIC POLYM,NESO","PLATES,SHEETS,FILM,ETC,NONCELLUAR,NOT REINFORCED,LAMINATED,COMBINED,OF OTHER ACRYLIC POLYMERS,NESOI",326113
3920610000,"PLATES,ETC,NONCEL,N REIN,OF POLYCARBONATES","PLATES,SHEETS,FILM,FOIL & STRIP,NONCELLUAR,NOT REINFORCED,LAMINATED,COMBINED,OF POLYCARBONATES",326113
3920620020,GIFT WRAP OF METALLIZED PET  FILM,GIFT WRAP OF METALLIZED POLY(ETHYLENE TEREPHTHALATE) FILM OR METALLIZED PET FILM,326113
3920620050,"METALLIZED POLY(ETHYLENE TEREPHTHALATE)  FILM, NES","METALLIZED POLY(ETHYLENE TEREPHTHALATE) FILM OR METALLIZED PET FILM, NESOI",326113
3920620090,"PLATES,ETC,NONCEL,N REIN,POLYETHYLENE TEREPHTHLATE","PLATES,SHEETS,FILM,FOIL & STRIP,NONCELLUAR,NOT REINFORCED,LAMINATED,COMBINED,OF POLYETHYLENE TEREPHTHALATE",326113
3920631000,"PLATES,ETC,NONCEL,N REIN,OF UNSAT POLYESTERS,FLEX","PLATES,SHEETS,FILM,ETC,NONCELLUAR,NOT REINFORCED,LAMINATED,COMBINED,OF UNSATURATED POLYESTERS,FLEXIBLE",326113
3920632000,"PLATES,ETC,NONCEL,N REIN,OF UNSAT POLYESTERS,NESOI","PLATES,SHEETS,FILM,ETC,NONCELLUAR,NOT REINFORCED,LAMINATED,COMBINED,OF UNSATURATED POLYESTERS,NESOI",326113
3920690000,"PLATES,ETC,NONCEL,N REIN,OF OTHER POLYESTERS,NESOI","PLATES,SHEETS,FILM,ETC,NONCELLUAR,NOT REINFORCED,LAMINATED,COMBINED,OF OTHER POLYESTERS,NESOI",326113
